PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_Mean. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,"This qualifier is to be used with the next TID, IC50_1. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,"This qualifier is to be used with the next TID, IC50_2. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,100,50,25,12.5,6.25,3.125,,,,,,100,50,25,12.5,6.25,3.125
1,863155,5389824,C1COCCN1CC2=C(C=CC3=C2OC=C(C3=O)C4=CC=C(C=C4)Br)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.9077,11.6316,13.3473,2.07346,8.39579,-3.4414,>,100,,,"0,0,0,0,0,0",14.7117,12.22,6.75564,3.58437,11.4426,3.09543
2,4254592,2199231,CCCOC1=CC=C(C=C1)OCCSC2=NC=CC=N2,Inactive,41,,,=,82.75,=,65.483,9.24,7.658,"1,0,0,0,0,0",,40.3488,9.85552,2.186,3.55503,0.513824,>,100,,,"0,0,0,0,0,0",96.266,11.2264,1.6386,0.936887,-8.2842,-15.2717
3,4249037,3243042,CCOC(=O)CSC1=NC2=CC=CC=C2C(=O)N1CCN3CCOCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",23.785,8.81584,-0.209574,4.97519,0.996183,-0.446775,>,100,,,"0,0,0,0,0,0",2.58693,-0.845431,7.24751,6.17282,2.40113,0.220462
4,7968634,778366,C1CSCCN1C(=O)NC2=CC3=C(C=C2)SN=N3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.976418,-1.38568,-5.71456,8.53614,-3.35245,-4.3309,>,100,,,"0,0,0,0,0,0",-4.60049,1.23745,-12.1595,7.09399,0.504041,3.52569
5,3717863,3000172,CC1=NN(C2=C1C=C(S2)C(=O)N3CCCCCC3)C4=CC=C(C=C4)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,1",30.8486,37.7709,28.8315,10.9259,15.3358,,>,100,,,"0,0,0,0,0,0",5.69365,10.7659,24.8875,18.9156,14.5679,9.21207
